i,j,coefficient,var_i,var_j,term_type
3,12,30.0,x_o0_r0_machine_t3,x_o1_r1_human_t1,quadratic
3,13,30.0,x_o0_r0_machine_t3,x_o1_r1_human_t2,quadratic
3,14,30.0,x_o0_r0_machine_t3,x_o1_r1_human_t3,quadratic
4,4,-28.4,x_o0_r1_human_t0,x_o0_r1_human_t0,linear
4,5,62.0,x_o0_r1_human_t0,x_o0_r1_human_t1,quadratic
4,6,62.0,x_o0_r1_human_t0,x_o0_r1_human_t2,quadratic
4,7,30.0,x_o0_r1_human_t0,x_o1_r0_machine_t0,quadratic
4,8,30.0,x_o0_r1_human_t0,x_o1_r0_machine_t1,quadratic
4,11,62.0,x_o0_r1_human_t0,x_o1_r1_human_t0,quadratic
4,12,62.0,x_o0_r1_human_t0,x_o1_r1_human_t1,quadratic
4,13,2.0,x_o0_r1_human_t0,x_o1_r1_human_t2,quadratic
4,14,2.0,x_o0_r1_human_t0,x_o1_r1_human_t3,quadratic
5,5,-28.2,x_o0_r1_human_t1,x_o0_r1_human_t1,linear
5,6,62.0,x_o0_r1_human_t1,x_o0_r1_human_t2,quadratic
5,7,30.0,x_o0_r1_human_t1,x_o1_r0_machine_t0,quadratic
5,8,30.0,x_o0_r1_human_t1,x_o1_r0_machine_t1,quadratic
5,9,30.0,x_o0_r1_human_t1,x_o1_r0_machine_t2,quadratic
5,11,32.0,x_o0_r1_human_t1,x_o1_r1_human_t0,quadratic
5,12,62.0,x_o0_r1_human_t1,x_o1_r1_human_t1,quadratic
5,13,62.0,x_o0_r1_human_t1,x_o1_r1_human_t2,quadratic
5,14,2.0,x_o0_r1_human_t1,x_o1_r1_human_t3,quadratic
6,6,-28.0,x_o0_r1_human_t2,x_o0_r1_human_t2,linear
6,7,30.0,x_o0_r1_human_t2,x_o1_r0_machine_t0,quadratic
6,8,30.0,x_o0_r1_human_t2,x_o1_r0_machine_t1,quadratic
6,9,30.0,x_o0_r1_human_t2,x_o1_r0_machine_t2,quadratic
6,10,30.0,x_o0_r1_human_t2,x_o1_r0_machine_t3,quadratic
6,11,32.0,x_o0_r1_human_t2,x_o1_r1_human_t0,quadratic
6,12,32.0,x_o0_r1_human_t2,x_o1_r1_human_t1,quadratic
6,13,62.0,x_o0_r1_human_t2,x_o1_r1_human_t2,quadratic
6,14,62.0,x_o0_r1_human_t2,x_o1_r1_human_t3,quadratic
7,7,-27.5,x_o1_r0_machine_t0,x_o1_r0_machine_t0,linear
7,8,60.0,x_o1_r0_machine_t0,x_o1_r0_machine_t1,quadratic
7,9,60.0,x_o1_r0_machine_t0,x_o1_r0_machine_t2,quadratic
7,10,60.0,x_o1_r0_machine_t0,x_o1_r0_machine_t3,quadratic
7,11,60.0,x_o1_r0_machine_t0,x_o1_r1_human_t0,quadratic
7,12,60.0,x_o1_r0_machine_t0,x_o1_r1_human_t1,quadratic
7,13,60.0,x_o1_r0_machine_t0,x_o1_r1_human_t2,quadratic
7,14,60.0,x_o1_r0_machine_t0,x_o1_r1_human_t3,quadratic
8,8,-27.3,x_o1_r0_machine_t1,x_o1_r0_machine_t1,linear
8,9,60.0,x_o1_r0_machine_t1,x_o1_r0_machine_t2,quadratic
8,10,60.0,x_o1_r0_machine_t1,x_o1_r0_machine_t3,quadratic
8,11,60.0,x_o1_r0_machine_t1,x_o1_r1_human_t0,quadratic
8,12,60.0,x_o1_r0_machine_t1,x_o1_r1_human_t1,quadratic
8,13,60.0,x_o1_r0_machine_t1,x_o1_r1_human_t2,quadratic
8,14,60.0,x_o1_r0_machine_t1,x_o1_r1_human_t3,quadratic
9,9,-27.1,x_o1_r0_machine_t2,x_o1_r0_machine_t2,linear
9,10,60.0,x_o1_r0_machine_t2,x_o1_r0_machine_t3,quadratic
9,11,60.0,x_o1_r0_machine_t2,x_o1_r1_human_t0,quadratic
9,12,60.0,x_o1_r0_machine_t2,x_o1_r1_human_t1,quadratic
9,13,60.0,x_o1_r0_machine_t2,x_o1_r1_human_t2,quadratic
9,14,60.0,x_o1_r0_machine_t2,x_o1_r1_human_t3,quadratic
10,10,-26.9,x_o1_r0_machine_t3,x_o1_r0_machine_t3,linear
10,11,60.0,x_o1_r0_machine_t3,x_o1_r1_human_t0,quadratic
10,12,60.0,x_o1_r0_machine_t3,x_o1_r1_human_t1,quadratic
10,13,60.0,x_o1_r0_machine_t3,x_o1_r1_human_t2,quadratic
10,14,60.0,x_o1_r0_machine_t3,x_o1_r1_human_t3,quadratic
11,11,-27.9,x_o1_r1_human_t0,x_o1_r1_human_t0,linear
11,12,62.0,x_o1_r1_human_t0,x_o1_r1_human_t1,quadratic
11,13,62.0,x_o1_r1_human_t0,x_o1_r1_human_t2,quadratic
11,14,62.0,x_o1_r1_human_t0,x_o1_r1_human_t3,quadratic
12,12,-27.7,x_o1_r1_human_t1,x_o1_r1_human_t1,linear
12,13,62.0,x_o1_r1_human_t1,x_o1_r1_human_t2,quadratic
12,14,62.0,x_o1_r1_human_t1,x_o1_r1_human_t3,quadratic
13,13,-27.5,x_o1_r1_human_t2,x_o1_r1_human_t2,linear
13,14,62.0,x_o1_r1_human_t2,x_o1_r1_human_t3,quadratic
14,14,-27.299999999999997,x_o1_r1_human_t3,x_o1_r1_human_t3,linear
