i,j,coefficient,var_i,var_j,term_type
2,8,60.0,x_o0_r0_machine_a_t2,x_o0_r1_machine_b_t2,quadratic
2,9,60.0,x_o0_r0_machine_a_t2,x_o0_r1_machine_b_t3,quadratic
2,10,60.0,x_o0_r0_machine_a_t2,x_o0_r1_machine_b_t4,quadratic
2,11,60.0,x_o0_r0_machine_a_t2,x_o0_r2_human_t0,quadratic
2,12,60.0,x_o0_r0_machine_a_t2,x_o0_r2_human_t1,quadratic
2,13,60.0,x_o0_r0_machine_a_t2,x_o0_r2_human_t2,quadratic
2,14,60.0,x_o0_r0_machine_a_t2,x_o0_r2_human_t3,quadratic
2,15,60.0,x_o0_r0_machine_a_t2,x_o0_r2_human_t4,quadratic
2,16,30.0,x_o0_r0_machine_a_t2,x_o1_r0_machine_a_t0,quadratic
2,17,60.0,x_o0_r0_machine_a_t2,x_o1_r0_machine_a_t1,quadratic
2,18,60.0,x_o0_r0_machine_a_t2,x_o1_r0_machine_a_t2,quadratic
2,21,30.0,x_o0_r0_machine_a_t2,x_o1_r1_machine_b_t0,quadratic
2,22,30.0,x_o0_r0_machine_a_t2,x_o1_r1_machine_b_t1,quadratic
2,23,30.0,x_o0_r0_machine_a_t2,x_o1_r1_machine_b_t2,quadratic
2,27,30.0,x_o0_r0_machine_a_t2,x_o1_r2_human_t0,quadratic
2,28,30.0,x_o0_r0_machine_a_t2,x_o1_r2_human_t1,quadratic
2,29,30.0,x_o0_r0_machine_a_t2,x_o1_r2_human_t2,quadratic
2,34,30.0,x_o0_r0_machine_a_t2,x_o2_r0_machine_a_t2,quadratic
3,3,-27.7,x_o0_r0_machine_a_t3,x_o0_r0_machine_a_t3,linear
3,4,60.0,x_o0_r0_machine_a_t3,x_o0_r0_machine_a_t4,quadratic
3,5,60.0,x_o0_r0_machine_a_t3,x_o0_r0_machine_a_t5,quadratic
3,6,60.0,x_o0_r0_machine_a_t3,x_o0_r1_machine_b_t0,quadratic
3,7,60.0,x_o0_r0_machine_a_t3,x_o0_r1_machine_b_t1,quadratic
3,8,60.0,x_o0_r0_machine_a_t3,x_o0_r1_machine_b_t2,quadratic
3,9,60.0,x_o0_r0_machine_a_t3,x_o0_r1_machine_b_t3,quadratic
3,10,60.0,x_o0_r0_machine_a_t3,x_o0_r1_machine_b_t4,quadratic
3,11,60.0,x_o0_r0_machine_a_t3,x_o0_r2_human_t0,quadratic
3,12,60.0,x_o0_r0_machine_a_t3,x_o0_r2_human_t1,quadratic
3,13,60.0,x_o0_r0_machine_a_t3,x_o0_r2_human_t2,quadratic
3,14,60.0,x_o0_r0_machine_a_t3,x_o0_r2_human_t3,quadratic
3,15,60.0,x_o0_r0_machine_a_t3,x_o0_r2_human_t4,quadratic
3,16,30.0,x_o0_r0_machine_a_t3,x_o1_r0_machine_a_t0,quadratic
3,17,30.0,x_o0_r0_machine_a_t3,x_o1_r0_machine_a_t1,quadratic
3,18,60.0,x_o0_r0_machine_a_t3,x_o1_r0_machine_a_t2,quadratic
3,19,60.0,x_o0_r0_machine_a_t3,x_o1_r0_machine_a_t3,quadratic
3,21,30.0,x_o0_r0_machine_a_t3,x_o1_r1_machine_b_t0,quadratic
3,22,30.0,x_o0_r0_machine_a_t3,x_o1_r1_machine_b_t1,quadratic
3,23,30.0,x_o0_r0_machine_a_t3,x_o1_r1_machine_b_t2,quadratic
3,24,30.0,x_o0_r0_machine_a_t3,x_o1_r1_machine_b_t3,quadratic
3,27,30.0,x_o0_r0_machine_a_t3,x_o1_r2_human_t0,quadratic
3,28,30.0,x_o0_r0_machine_a_t3,x_o1_r2_human_t1,quadratic
3,29,30.0,x_o0_r0_machine_a_t3,x_o1_r2_human_t2,quadratic
3,30,30.0,x_o0_r0_machine_a_t3,x_o1_r2_human_t3,quadratic
3,35,30.0,x_o0_r0_machine_a_t3,x_o2_r0_machine_a_t3,quadratic
4,4,-27.6,x_o0_r0_machine_a_t4,x_o0_r0_machine_a_t4,linear
4,5,60.0,x_o0_r0_machine_a_t4,x_o0_r0_machine_a_t5,quadratic
4,6,60.0,x_o0_r0_machine_a_t4,x_o0_r1_machine_b_t0,quadratic
4,7,60.0,x_o0_r0_machine_a_t4,x_o0_r1_machine_b_t1,quadratic
4,8,60.0,x_o0_r0_machine_a_t4,x_o0_r1_machine_b_t2,quadratic
4,9,60.0,x_o0_r0_machine_a_t4,x_o0_r1_machine_b_t3,quadratic
4,10,60.0,x_o0_r0_machine_a_t4,x_o0_r1_machine_b_t4,quadratic
4,11,60.0,x_o0_r0_machine_a_t4,x_o0_r2_human_t0,quadratic
4,12,60.0,x_o0_r0_machine_a_t4,x_o0_r2_human_t1,quadratic
4,13,60.0,x_o0_r0_machine_a_t4,x_o0_r2_human_t2,quadratic
4,14,60.0,x_o0_r0_machine_a_t4,x_o0_r2_human_t3,quadratic
4,15,60.0,x_o0_r0_machine_a_t4,x_o0_r2_human_t4,quadratic
4,16,30.0,x_o0_r0_machine_a_t4,x_o1_r0_machine_a_t0,quadratic
4,17,30.0,x_o0_r0_machine_a_t4,x_o1_r0_machine_a_t1,quadratic
4,18,30.0,x_o0_r0_machine_a_t4,x_o1_r0_machine_a_t2,quadratic
4,19,60.0,x_o0_r0_machine_a_t4,x_o1_r0_machine_a_t3,quadratic
4,20,60.0,x_o0_r0_machine_a_t4,x_o1_r0_machine_a_t4,quadratic
4,21,30.0,x_o0_r0_machine_a_t4,x_o1_r1_machine_b_t0,quadratic
4,22,30.0,x_o0_r0_machine_a_t4,x_o1_r1_machine_b_t1,quadratic
4,23,30.0,x_o0_r0_machine_a_t4,x_o1_r1_machine_b_t2,quadratic
4,24,30.0,x_o0_r0_machine_a_t4,x_o1_r1_machine_b_t3,quadratic
4,25,30.0,x_o0_r0_machine_a_t4,x_o1_r1_machine_b_t4,quadratic
4,27,30.0,x_o0_r0_machine_a_t4,x_o1_r2_human_t0,quadratic
4,28,30.0,x_o0_r0_machine_a_t4,x_o1_r2_human_t1,quadratic
4,29,30.0,x_o0_r0_machine_a_t4,x_o1_r2_human_t2,quadratic
4,30,30.0,x_o0_r0_machine_a_t4,x_o1_r2_human_t3,quadratic
4,31,30.0,x_o0_r0_machine_a_t4,x_o1_r2_human_t4,quadratic
4,36,30.0,x_o0_r0_machine_a_t4,x_o2_r0_machine_a_t4,quadratic
5,5,-27.5,x_o0_r0_machine_a_t5,x_o0_r0_machine_a_t5,linear
5,6,60.0,x_o0_r0_machine_a_t5,x_o0_r1_machine_b_t0,quadratic
5,7,60.0,x_o0_r0_machine_a_t5,x_o0_r1_machine_b_t1,quadratic
5,8,60.0,x_o0_r0_machine_a_t5,x_o0_r1_machine_b_t2,quadratic
5,9,60.0,x_o0_r0_machine_a_t5,x_o0_r1_machine_b_t3,quadratic
5,10,60.0,x_o0_r0_machine_a_t5,x_o0_r1_machine_b_t4,quadratic
5,11,60.0,x_o0_r0_machine_a_t5,x_o0_r2_human_t0,quadratic
5,12,60.0,x_o0_r0_machine_a_t5,x_o0_r2_human_t1,quadratic
5,13,60.0,x_o0_r0_machine_a_t5,x_o0_r2_human_t2,quadratic
5,14,60.0,x_o0_r0_machine_a_t5,x_o0_r2_human_t3,quadratic
5,15,60.0,x_o0_r0_machine_a_t5,x_o0_r2_human_t4,quadratic
5,16,30.0,x_o0_r0_machine_a_t5,x_o1_r0_machine_a_t0,quadratic
5,17,30.0,x_o0_r0_machine_a_t5,x_o1_r0_machine_a_t1,quadratic
5,18,30.0,x_o0_r0_machine_a_t5,x_o1_r0_machine_a_t2,quadratic
5,19,30.0,x_o0_r0_machine_a_t5,x_o1_r0_machine_a_t3,quadratic
5,20,60.0,x_o0_r0_machine_a_t5,x_o1_r0_machine_a_t4,quadratic
5,21,30.0,x_o0_r0_machine_a_t5,x_o1_r1_machine_b_t0,quadratic
5,22,30.0,x_o0_r0_machine_a_t5,x_o1_r1_machine_b_t1,quadratic
5,23,30.0,x_o0_r0_machine_a_t5,x_o1_r1_machine_b_t2,quadratic
5,24,30.0,x_o0_r0_machine_a_t5,x_o1_r1_machine_b_t3,quadratic
5,25,30.0,x_o0_r0_machine_a_t5,x_o1_r1_machine_b_t4,quadratic
5,26,30.0,x_o0_r0_machine_a_t5,x_o1_r1_machine_b_t5,quadratic
5,27,30.0,x_o0_r0_machine_a_t5,x_o1_r2_human_t0,quadratic
5,28,30.0,x_o0_r0_machine_a_t5,x_o1_r2_human_t1,quadratic
5,29,30.0,x_o0_r0_machine_a_t5,x_o1_r2_human_t2,quadratic
5,30,30.0,x_o0_r0_machine_a_t5,x_o1_r2_human_t3,quadratic
5,31,30.0,x_o0_r0_machine_a_t5,x_o1_r2_human_t4,quadratic
5,37,30.0,x_o0_r0_machine_a_t5,x_o2_r0_machine_a_t5,quadratic
6,6,-27.6,x_o0_r1_machine_b_t0,x_o0_r1_machine_b_t0,linear
6,7,60.0,x_o0_r1_machine_b_t0,x_o0_r1_machine_b_t1,quadratic
6,8,60.0,x_o0_r1_machine_b_t0,x_o0_r1_machine_b_t2,quadratic
6,9,60.0,x_o0_r1_machine_b_t0,x_o0_r1_machine_b_t3,quadratic
6,10,60.0,x_o0_r1_machine_b_t0,x_o0_r1_machine_b_t4,quadratic
6,11,60.0,x_o0_r1_machine_b_t0,x_o0_r2_human_t0,quadratic
6,12,60.0,x_o0_r1_machine_b_t0,x_o0_r2_human_t1,quadratic
6,13,60.0,x_o0_r1_machine_b_t0,x_o0_r2_human_t2,quadratic
6,14,60.0,x_o0_r1_machine_b_t0,x_o0_r2_human_t3,quadratic
6,15,60.0,x_o0_r1_machine_b_t0,x_o0_r2_human_t4,quadratic
6,16,30.0,x_o0_r1_machine_b_t0,x_o1_r0_machine_a_t0,quadratic
6,17,30.0,x_o0_r1_machine_b_t0,x_o1_r0_machine_a_t1,quadratic
6,21,60.0,x_o0_r1_machine_b_t0,x_o1_r1_machine_b_t0,quadratic
6,22,60.0,x_o0_r1_machine_b_t0,x_o1_r1_machine_b_t1,quadratic
6,27,30.0,x_o0_r1_machine_b_t0,x_o1_r2_human_t0,quadratic
6,28,30.0,x_o0_r1_machine_b_t0,x_o1_r2_human_t1,quadratic
6,38,30.0,x_o0_r1_machine_b_t0,x_o2_r1_machine_b_t0,quadratic
6,39,30.0,x_o0_r1_machine_b_t0,x_o2_r1_machine_b_t1,quadratic
7,7,-27.5,x_o0_r1_machine_b_t1,x_o0_r1_machine_b_t1,linear
7,8,60.0,x_o0_r1_machine_b_t1,x_o0_r1_machine_b_t2,quadratic
7,9,60.0,x_o0_r1_machine_b_t1,x_o0_r1_machine_b_t3,quadratic
7,10,60.0,x_o0_r1_machine_b_t1,x_o0_r1_machine_b_t4,quadratic
7,11,60.0,x_o0_r1_machine_b_t1,x_o0_r2_human_t0,quadratic
7,12,60.0,x_o0_r1_machine_b_t1,x_o0_r2_human_t1,quadratic
7,13,60.0,x_o0_r1_machine_b_t1,x_o0_r2_human_t2,quadratic
7,14,60.0,x_o0_r1_machine_b_t1,x_o0_r2_human_t3,quadratic
7,15,60.0,x_o0_r1_machine_b_t1,x_o0_r2_human_t4,quadratic
7,16,30.0,x_o0_r1_machine_b_t1,x_o1_r0_machine_a_t0,quadratic
7,17,30.0,x_o0_r1_machine_b_t1,x_o1_r0_machine_a_t1,quadratic
7,18,30.0,x_o0_r1_machine_b_t1,x_o1_r0_machine_a_t2,quadratic
7,21,30.0,x_o0_r1_machine_b_t1,x_o1_r1_machine_b_t0,quadratic
7,22,60.0,x_o0_r1_machine_b_t1,x_o1_r1_machine_b_t1,quadratic
7,23,60.0,x_o0_r1_machine_b_t1,x_o1_r1_machine_b_t2,quadratic
7,27,30.0,x_o0_r1_machine_b_t1,x_o1_r2_human_t0,quadratic
7,28,30.0,x_o0_r1_machine_b_t1,x_o1_r2_human_t1,quadratic
7,29,30.0,x_o0_r1_machine_b_t1,x_o1_r2_human_t2,quadratic
7,38,30.0,x_o0_r1_machine_b_t1,x_o2_r1_machine_b_t0,quadratic
7,39,30.0,x_o0_r1_machine_b_t1,x_o2_r1_machine_b_t1,quadratic
7,40,30.0,x_o0_r1_machine_b_t1,x_o2_r1_machine_b_t2,quadratic
8,8,-27.4,x_o0_r1_machine_b_t2,x_o0_r1_machine_b_t2,linear
8,9,60.0,x_o0_r1_machine_b_t2,x_o0_r1_machine_b_t3,quadratic
8,10,60.0,x_o0_r1_machine_b_t2,x_o0_r1_machine_b_t4,quadratic
8,11,60.0,x_o0_r1_machine_b_t2,x_o0_r2_human_t0,quadratic
8,12,60.0,x_o0_r1_machine_b_t2,x_o0_r2_human_t1,quadratic
8,13,60.0,x_o0_r1_machine_b_t2,x_o0_r2_human_t2,quadratic
8,14,60.0,x_o0_r1_machine_b_t2,x_o0_r2_human_t3,quadratic
8,15,60.0,x_o0_r1_machine_b_t2,x_o0_r2_human_t4,quadratic
8,16,30.0,x_o0_r1_machine_b_t2,x_o1_r0_machine_a_t0,quadratic
8,17,30.0,x_o0_r1_machine_b_t2,x_o1_r0_machine_a_t1,quadratic
8,18,30.0,x_o0_r1_machine_b_t2,x_o1_r0_machine_a_t2,quadratic
8,19,30.0,x_o0_r1_machine_b_t2,x_o1_r0_machine_a_t3,quadratic
8,21,30.0,x_o0_r1_machine_b_t2,x_o1_r1_machine_b_t0,quadratic
8,22,30.0,x_o0_r1_machine_b_t2,x_o1_r1_machine_b_t1,quadratic
8,23,60.0,x_o0_r1_machine_b_t2,x_o1_r1_machine_b_t2,quadratic
8,24,60.0,x_o0_r1_machine_b_t2,x_o1_r1_machine_b_t3,quadratic
8,27,30.0,x_o0_r1_machine_b_t2,x_o1_r2_human_t0,quadratic
8,28,30.0,x_o0_r1_machine_b_t2,x_o1_r2_human_t1,quadratic
8,29,30.0,x_o0_r1_machine_b_t2,x_o1_r2_human_t2,quadratic
8,30,30.0,x_o0_r1_machine_b_t2,x_o1_r2_human_t3,quadratic
8,39,30.0,x_o0_r1_machine_b_t2,x_o2_r1_machine_b_t1,quadratic
8,40,30.0,x_o0_r1_machine_b_t2,x_o2_r1_machine_b_t2,quadratic
8,41,30.0,x_o0_r1_machine_b_t2,x_o2_r1_machine_b_t3,quadratic
9,9,-27.3,x_o0_r1_machine_b_t3,x_o0_r1_machine_b_t3,linear
9,10,60.0,x_o0_r1_machine_b_t3,x_o0_r1_machine_b_t4,quadratic
9,11,60.0,x_o0_r1_machine_b_t3,x_o0_r2_human_t0,quadratic
9,12,60.0,x_o0_r1_machine_b_t3,x_o0_r2_human_t1,quadratic
9,13,60.0,x_o0_r1_machine_b_t3,x_o0_r2_human_t2,quadratic
9,14,60.0,x_o0_r1_machine_b_t3,x_o0_r2_human_t3,quadratic
9,15,60.0,x_o0_r1_machine_b_t3,x_o0_r2_human_t4,quadratic
9,16,30.0,x_o0_r1_machine_b_t3,x_o1_r0_machine_a_t0,quadratic
9,17,30.0,x_o0_r1_machine_b_t3,x_o1_r0_machine_a_t1,quadratic
9,18,30.0,x_o0_r1_machine_b_t3,x_o1_r0_machine_a_t2,quadratic
9,19,30.0,x_o0_r1_machine_b_t3,x_o1_r0_machine_a_t3,quadratic
9,20,30.0,x_o0_r1_machine_b_t3,x_o1_r0_machine_a_t4,quadratic
9,21,30.0,x_o0_r1_machine_b_t3,x_o1_r1_machine_b_t0,quadratic
9,22,30.0,x_o0_r1_machine_b_t3,x_o1_r1_machine_b_t1,quadratic
9,23,30.0,x_o0_r1_machine_b_t3,x_o1_r1_machine_b_t2,quadratic
9,24,60.0,x_o0_r1_machine_b_t3,x_o1_r1_machine_b_t3,quadratic
9,25,60.0,x_o0_r1_machine_b_t3,x_o1_r1_machine_b_t4,quadratic
9,27,30.0,x_o0_r1_machine_b_t3,x_o1_r2_human_t0,quadratic
9,28,30.0,x_o0_r1_machine_b_t3,x_o1_r2_human_t1,quadratic
9,29,30.0,x_o0_r1_machine_b_t3,x_o1_r2_human_t2,quadratic
9,30,30.0,x_o0_r1_machine_b_t3,x_o1_r2_human_t3,quadratic
9,31,30.0,x_o0_r1_machine_b_t3,x_o1_r2_human_t4,quadratic
9,40,30.0,x_o0_r1_machine_b_t3,x_o2_r1_machine_b_t2,quadratic
9,41,30.0,x_o0_r1_machine_b_t3,x_o2_r1_machine_b_t3,quadratic
9,42,30.0,x_o0_r1_machine_b_t3,x_o2_r1_machine_b_t4,quadratic
10,10,-27.2,x_o0_r1_machine_b_t4,x_o0_r1_machine_b_t4,linear
10,11,60.0,x_o0_r1_machine_b_t4,x_o0_r2_human_t0,quadratic
10,12,60.0,x_o0_r1_machine_b_t4,x_o0_r2_human_t1,quadratic
10,13,60.0,x_o0_r1_machine_b_t4,x_o0_r2_human_t2,quadratic
10,14,60.0,x_o0_r1_machine_b_t4,x_o0_r2_human_t3,quadratic
10,15,60.0,x_o0_r1_machine_b_t4,x_o0_r2_human_t4,quadratic
10,16,30.0,x_o0_r1_machine_b_t4,x_o1_r0_machine_a_t0,quadratic
10,17,30.0,x_o0_r1_machine_b_t4,x_o1_r0_machine_a_t1,quadratic
10,18,30.0,x_o0_r1_machine_b_t4,x_o1_r0_machine_a_t2,quadratic
10,19,30.0,x_o0_r1_machine_b_t4,x_o1_r0_machine_a_t3,quadratic
10,20,30.0,x_o0_r1_machine_b_t4,x_o1_r0_machine_a_t4,quadratic
10,21,30.0,x_o0_r1_machine_b_t4,x_o1_r1_machine_b_t0,quadratic
10,22,30.0,x_o0_r1_machine_b_t4,x_o1_r1_machine_b_t1,quadratic
10,23,30.0,x_o0_r1_machine_b_t4,x_o1_r1_machine_b_t2,quadratic
10,24,30.0,x_o0_r1_machine_b_t4,x_o1_r1_machine_b_t3,quadratic
10,25,60.0,x_o0_r1_machine_b_t4,x_o1_r1_machine_b_t4,quadratic
10,26,60.0,x_o0_r1_machine_b_t4,x_o1_r1_machine_b_t5,quadratic
10,27,30.0,x_o0_r1_machine_b_t4,x_o1_r2_human_t0,quadratic
10,28,30.0,x_o0_r1_machine_b_t4,x_o1_r2_human_t1,quadratic
10,29,30.0,x_o0_r1_machine_b_t4,x_o1_r2_human_t2,quadratic
10,30,30.0,x_o0_r1_machine_b_t4,x_o1_r2_human_t3,quadratic
10,31,30.0,x_o0_r1_machine_b_t4,x_o1_r2_human_t4,quadratic
10,41,30.0,x_o0_r1_machine_b_t4,x_o2_r1_machine_b_t3,quadratic
10,42,30.0,x_o0_r1_machine_b_t4,x_o2_r1_machine_b_t4,quadratic
11,11,-28.9,x_o0_r2_human_t0,x_o0_r2_human_t0,linear
11,12,62.0,x_o0_r2_human_t0,x_o0_r2_human_t1,quadratic
11,13,62.0,x_o0_r2_human_t0,x_o0_r2_human_t2,quadratic
11,14,62.0,x_o0_r2_human_t0,x_o0_r2_human_t3,quadratic
11,15,62.0,x_o0_r2_human_t0,x_o0_r2_human_t4,quadratic
11,16,30.0,x_o0_r2_human_t0,x_o1_r0_machine_a_t0,quadratic
11,17,30.0,x_o0_r2_human_t0,x_o1_r0_machine_a_t1,quadratic
11,21,30.0,x_o0_r2_human_t0,x_o1_r1_machine_b_t0,quadratic
11,22,30.0,x_o0_r2_human_t0,x_o1_r1_machine_b_t1,quadratic
11,27,62.0,x_o0_r2_human_t0,x_o1_r2_human_t0,quadratic
11,28,62.0,x_o0_r2_human_t0,x_o1_r2_human_t1,quadratic
11,29,2.0,x_o0_r2_human_t0,x_o1_r2_human_t2,quadratic
11,30,2.0,x_o0_r2_human_t0,x_o1_r2_human_t3,quadratic
11,31,2.0,x_o0_r2_human_t0,x_o1_r2_human_t4,quadratic
11,43,32.0,x_o0_r2_human_t0,x_o2_r2_human_t0,quadratic
11,44,32.0,x_o0_r2_human_t0,x_o2_r2_human_t1,quadratic
11,45,2.0,x_o0_r2_human_t0,x_o2_r2_human_t2,quadratic
11,46,2.0,x_o0_r2_human_t0,x_o2_r2_human_t3,quadratic
11,47,2.0,x_o0_r2_human_t0,x_o2_r2_human_t4,quadratic
11,48,2.0,x_o0_r2_human_t0,x_o2_r2_human_t5,quadratic
12,12,-28.8,x_o0_r2_human_t1,x_o0_r2_human_t1,linear
12,13,62.0,x_o0_r2_human_t1,x_o0_r2_human_t2,quadratic
12,14,62.0,x_o0_r2_human_t1,x_o0_r2_human_t3,quadratic
12,15,62.0,x_o0_r2_human_t1,x_o0_r2_human_t4,quadratic
12,16,30.0,x_o0_r2_human_t1,x_o1_r0_machine_a_t0,quadratic
12,17,30.0,x_o0_r2_human_t1,x_o1_r0_machine_a_t1,quadratic
12,18,30.0,x_o0_r2_human_t1,x_o1_r0_machine_a_t2,quadratic
12,21,30.0,x_o0_r2_human_t1,x_o1_r1_machine_b_t0,quadratic
12,22,30.0,x_o0_r2_human_t1,x_o1_r1_machine_b_t1,quadratic
12,23,30.0,x_o0_r2_human_t1,x_o1_r1_machine_b_t2,quadratic
12,27,62.0,x_o0_r2_human_t1,x_o1_r2_human_t0,quadratic
12,28,62.0,x_o0_r2_human_t1,x_o1_r2_human_t1,quadratic
12,29,62.0,x_o0_r2_human_t1,x_o1_r2_human_t2,quadratic
12,30,2.0,x_o0_r2_human_t1,x_o1_r2_human_t3,quadratic
12,31,2.0,x_o0_r2_human_t1,x_o1_r2_human_t4,quadratic
12,43,2.0,x_o0_r2_human_t1,x_o2_r2_human_t0,quadratic
12,44,32.0,x_o0_r2_human_t1,x_o2_r2_human_t1,quadratic
12,45,32.0,x_o0_r2_human_t1,x_o2_r2_human_t2,quadratic
12,46,2.0,x_o0_r2_human_t1,x_o2_r2_human_t3,quadratic
12,47,2.0,x_o0_r2_human_t1,x_o2_r2_human_t4,quadratic
12,48,2.0,x_o0_r2_human_t1,x_o2_r2_human_t5,quadratic
13,13,-28.7,x_o0_r2_human_t2,x_o0_r2_human_t2,linear
13,14,62.0,x_o0_r2_human_t2,x_o0_r2_human_t3,quadratic
13,15,62.0,x_o0_r2_human_t2,x_o0_r2_human_t4,quadratic
13,16,30.0,x_o0_r2_human_t2,x_o1_r0_machine_a_t0,quadratic
13,17,30.0,x_o0_r2_human_t2,x_o1_r0_machine_a_t1,quadratic
13,18,30.0,x_o0_r2_human_t2,x_o1_r0_machine_a_t2,quadratic
13,19,30.0,x_o0_r2_human_t2,x_o1_r0_machine_a_t3,quadratic
13,21,30.0,x_o0_r2_human_t2,x_o1_r1_machine_b_t0,quadratic
13,22,30.0,x_o0_r2_human_t2,x_o1_r1_machine_b_t1,quadratic
13,23,30.0,x_o0_r2_human_t2,x_o1_r1_machine_b_t2,quadratic
13,24,30.0,x_o0_r2_human_t2,x_o1_r1_machine_b_t3,quadratic
13,27,32.0,x_o0_r2_human_t2,x_o1_r2_human_t0,quadratic
13,28,62.0,x_o0_r2_human_t2,x_o1_r2_human_t1,quadratic
13,29,62.0,x_o0_r2_human_t2,x_o1_r2_human_t2,quadratic
13,30,62.0,x_o0_r2_human_t2,x_o1_r2_human_t3,quadratic
13,31,2.0,x_o0_r2_human_t2,x_o1_r2_human_t4,quadratic
13,43,2.0,x_o0_r2_human_t2,x_o2_r2_human_t0,quadratic
13,44,2.0,x_o0_r2_human_t2,x_o2_r2_human_t1,quadratic
13,45,32.0,x_o0_r2_human_t2,x_o2_r2_human_t2,quadratic
13,46,32.0,x_o0_r2_human_t2,x_o2_r2_human_t3,quadratic
13,47,2.0,x_o0_r2_human_t2,x_o2_r2_human_t4,quadratic
13,48,2.0,x_o0_r2_human_t2,x_o2_r2_human_t5,quadratic
14,14,-28.6,x_o0_r2_human_t3,x_o0_r2_human_t3,linear
14,15,62.0,x_o0_r2_human_t3,x_o0_r2_human_t4,quadratic
